"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"026101","Gemeente Lienden","1","19940501","19990101",""
"026201","Gemeente Lochem/Burgerzakentaken","1","20180725","",""
"026301","Gemeente Maasdriel/Burgerzakentaken","1","20180725","",""
"026401","Gemeente Maurik","1","19940930","19990101",""
"026501","Gemeente Millingen aan de Rijn","1","19940715","20150101",""
"026601","Gemeente Neede","1","19931215","20050101",""
"026701","Gemeente Nijkerk/Burgerzakentaken","1","20180701","",""
"026801","Gemeente Nijmegen/Burgerzakentaken","1","20180701","",""
"026901","Gemeente Oldebroek/Burgerzakentaken","1","20180725","",""
"027301","Gemeente Putten/Burgerzakentaken","1","20180725","",""
"027401","Gemeente Renkum/Burgerzakentaken","1","20180701","",""
"027501","Gemeente Rheden/Burgerzakentaken","1","20180725","",""
"027601","Gemeente Rossum","1","19940401","19990101",""
"027701","Gemeente Rozendaal/Burgerzakentaken","1","20180701","",""
"027801","Gemeente Ruurlo","1","19940901","20050101",""
"027901","Gemeente Scherpenzeel/Burgerzakentaken","1","20180701","",""
"028001","Gemeente Steenderen","1","19931215","20050101",""
"028101","Gemeente Tiel/Burgerzakentaken","1","20180701","",""
"028201","Gemeente Ubbergen","1","19940930","20150101",""
"028301","Gemeente Valburg","1","19940301","20010101",""
"028501","Gemeente Voorst/Burgerzakentaken","1","20180701","",""
"028601","Gemeente Vorden","1","19930715","20050101",""
"028901","Gemeente Wageningen/Burgerzakentaken","1","20180701","",""
"029101","Gemeente Warnsveld","1","19940901","20050101",""
"029201","Gemeente Wehl","1","19920501","20050101",""
"029301","Gemeente Westervoort/Burgerzakentaken","1","20180725","",""
"029401","Gemeente Winterswijk/Burgerzakentaken","1","20180701","",""
"029501","Gemeente Wisch","1","19940930","20050101",""
"029601","Gemeente Wijchen/Burgerzakentaken","1","20180701","",""
"029701","Gemeente Zaltbommel/Burgerzakentaken","1","20180701","",""
"029801","Gemeente Zelhem","1","19940901","20050101",""
"029901","Gemeente Zevenaar/Burgerzakentaken","1","20180701","",""
"030101","Gemeente Zutphen/Burgerzakentaken","1","20180725","",""
"030103","Gemeente Zutphen via MijnOverheid/Verhuisvoorziening","0","20180301","",""
"030201","Gemeente Nunspeet/Burgerzakentaken","1","20180725","",""
"030301","Gemeente Dronten/Burgerzakentaken","1","20180701","",""
"030401","Gemeente Neerijnen/Burgerzakentaken","1","20180701","20190101",""
"030501","Gemeente Abcoude","1","19940415","20110101",""
